model,E,regime,N_star,N,ais_lag1,ais_lag2,ais_lag3,h_target,normalized,adequacy
linear,1.6,plateau,5.594,2,1.0775015247222328,1.0962236879733418,1.0896519095586819,1.8224681017011646,0.5912320351266779,228.57142857142858
linear,1.6,plateau,5.594,3,0.9387107158182653,0.9438807083909494,0.9449634437595076,1.6326748772116007,0.5749526307536885,342.85714285714283
linear,1.6,plateau,5.594,4,0.9294437043366166,0.9364910644114025,0.9377168428298253,1.4864997243079532,0.6252565601849159,457.14285714285717
linear,1.6,plateau,5.594,5,0.5436262285267353,0.5465371156110916,0.5473670594775976,1.007980957248638,0.5393219233135168,571.4285714285714
linear,1.6,plateau,5.594,6,0.3003021379830943,0.3048845076226462,0.3071637287976436,0.6170402447149698,0.48668160716455905,685.7142857142857
linear,1.6,plateau,5.594,7,0.19524372956168537,0.19919691412156723,0.20107758966675676,0.40914110494275185,0.4772038966581087,933.3333333333334
linear,1.6,plateau,5.594,8,0.14136197756125568,0.14247592704867748,0.14301197041214667,0.28516043321412715,0.4957278819081709,1066.6666666666667
linear,1.6,plateau,5.594,9,nan,0.08777216824021508,0.08846723706310743,nan,nan,2057.1428571428573
linear,1.6,plateau,5.594,10,nan,0.0611732748402405,0.061604814110696064,nan,nan,2285.714285714286
linear,1.6,plateau,5.594,11,nan,0.022221124196572982,0.022436020922656907,nan,nan,2933.3333333333335
linear,1.6,plateau,5.594,12,nan,nan,0.0076874549540133195,nan,nan,4800.0
linear,1.6,plateau,5.594,13,nan,nan,0.003303900883833246,nan,nan,5200.0
linear,1.6,plateau,5.594,14,nan,nan,nan,nan,nan,7466.666666666667
linear,1.6,plateau,5.594,15,nan,nan,nan,nan,nan,24000.0
linear,1.6,plateau,5.594,16,nan,nan,nan,nan,nan,25600.0
linear,1.6,plateau,5.594,17,nan,nan,nan,nan,nan,27200.0
linear,1.6,plateau,5.594,18,nan,nan,nan,nan,nan,28800.0
linear,1.6,plateau,5.594,19,nan,nan,nan,nan,nan,30400.0
linear,1.6,plateau,5.594,20,nan,nan,nan,nan,nan,32000.0
linear,1.6,plateau,5.594,21,nan,nan,nan,nan,nan,33600.0
linear,1.6,plateau,5.594,22,nan,nan,nan,nan,nan,35200.0
linear,1.6,plateau,5.594,23,nan,nan,nan,nan,nan,36800.0
linear,1.6,plateau,5.594,24,nan,nan,nan,nan,nan,38400.0
linear,3.442,plateau,5.589,2,1.117290823150098,1.130622731753452,1.1274263679417125,1.8883617621929438,0.5916720225538746,228.57142857142858
linear,3.442,plateau,5.589,3,1.0647428772979854,1.0752658156468367,1.0729485751178027,1.824510426021679,0.5835773049648411,342.85714285714283
linear,3.442,plateau,5.589,4,1.0201245226434743,1.0317559948021882,1.031764163127802,1.626174592139747,0.6273154971024223,457.14285714285717
linear,3.442,plateau,5.589,5,0.6873100785042298,0.6906765358258048,0.69439050930609,1.2188524363843736,0.5638993351345132,571.4285714285714
linear,3.442,plateau,5.589,6,0.35563465989113113,0.3618309355527162,0.3651409149551233,0.7209743623650007,0.4932694953597912,685.7142857142857
linear,3.442,plateau,5.589,7,0.23637759317425605,0.2417537509460897,0.2437150238485739,0.47760846558692627,0.49491918633346454,861.5384615384615
linear,3.442,plateau,5.589,8,0.16341676554762846,0.1654226537264408,0.16658235519986664,0.32792647495334104,0.49833355349207525,984.6153846153846
linear,3.442,plateau,5.589,9,0.09622556406069653,0.0971913814135942,0.09821698665338381,0.19855909633487817,0.484619268705817,1200.0
linear,3.442,plateau,5.589,10,nan,0.060453393740282226,0.06126356231862059,nan,nan,2285.714285714286
linear,3.442,plateau,5.589,11,nan,0.027207918822395934,0.027626882848824676,nan,nan,2933.3333333333335
linear,3.442,plateau,5.589,12,nan,nan,0.0076874549540133195,nan,nan,4800.0
linear,3.442,plateau,5.589,13,nan,nan,0.003191726668792993,nan,nan,5200.0
linear,3.442,plateau,5.589,14,nan,nan,nan,nan,nan,7466.666666666667
linear,3.442,plateau,5.589,15,nan,nan,nan,nan,nan,24000.0
linear,3.442,plateau,5.589,16,nan,nan,nan,nan,nan,25600.0
linear,3.442,plateau,5.589,17,nan,nan,nan,nan,nan,27200.0
linear,3.442,plateau,5.589,18,nan,nan,nan,nan,nan,28800.0
linear,3.442,plateau,5.589,19,nan,nan,nan,nan,nan,30400.0
linear,3.442,plateau,5.589,20,nan,nan,nan,nan,nan,32000.0
