E,N_star,N_star_lo,N_star_hi,interior
1.6000,5.594,5.539,5.657,True
2.3466,5.632,5.552,5.725,True
3.4416,5.589,5.440,5.730,True
5.0477,5.644,5.425,5.800,True
7.4031,5.537,5.312,5.725,True
10.8577,8.964,5.885,8.996,True
15.9243,8.708,7.798,8.862,True
23.3552,8.192,7.997,8.386,True
34.2536,10.929,10.897,10.955,True
50.2377,8.985,8.931,9.039,True
73.6806,12.092,12.047,12.147,True
108.0629,15.000,12.000,15.000,True
158.4893,16.393,16.000,18.000,True
232.4467,17.689,17.000,22.000,True
340.9154,21.000,21.000,21.000,False
500.0000,22.978,22.919,23.000,False
